file,time,date,processed_time
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_000219.wav_clicks.jld2,2020-05-01T00:02:19.0,2020-05-01,2020-05-23T14:07:08.037
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_001219.wav_clicks.jld2,2020-05-01T00:12:19.0,2020-05-01,2020-05-23T14:07:07.987
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_002219.wav_clicks.jld2,2020-05-01T00:22:19.0,2020-05-01,2020-05-23T14:07:28.883
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_003219.wav_clicks.jld2,2020-05-01T00:32:19.0,2020-05-01,2020-05-23T14:07:32.398
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_004219.wav_clicks.jld2,2020-05-01T00:42:19.0,2020-05-01,2020-05-23T14:07:50.214
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_005219.wav_clicks.jld2,2020-05-01T00:52:19.0,2020-05-01,2020-05-23T14:07:53.021
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_010219.wav_clicks.jld2,2020-05-01T01:02:19.0,2020-05-01,2020-05-23T14:08:10.834
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_011219.wav_clicks.jld2,2020-05-01T01:12:19.0,2020-05-01,2020-05-23T14:08:14.815
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_012219.wav_clicks.jld2,2020-05-01T01:22:19.0,2020-05-01,2020-05-23T14:08:32.293
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_013219.wav_clicks.jld2,2020-05-01T01:32:19.0,2020-05-01,2020-05-23T14:08:35.448
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_014219.wav_clicks.jld2,2020-05-01T01:42:19.0,2020-05-01,2020-05-23T14:08:52.729
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_015219.wav_clicks.jld2,2020-05-01T01:52:19.0,2020-05-01,2020-05-23T14:08:58.236
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_020219.wav_clicks.jld2,2020-05-01T02:02:19.0,2020-05-01,2020-05-23T14:09:14.301
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_021219.wav_clicks.jld2,2020-05-01T02:12:19.0,2020-05-01,2020-05-23T14:09:21.593
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_022219.wav_clicks.jld2,2020-05-01T02:22:19.0,2020-05-01,2020-05-23T14:09:35.726
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_023219.wav_clicks.jld2,2020-05-01T02:32:19.0,2020-05-01,2020-05-23T14:09:45.787
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_024219.wav_clicks.jld2,2020-05-01T02:42:19.0,2020-05-01,2020-05-23T14:09:58.766
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_025219.wav_clicks.jld2,2020-05-01T02:52:19.0,2020-05-01,2020-05-23T14:10:06.539
X:\OdontoceteClicks\clicks\2020\05\MARS_20200501_030219.wav_clicks.jld2,2020-05-01T03:02:19.0,2020-05-01,2020-05-23T14:10:20.615
