file,processed,processed_time
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_000219.wav,true,2020-05-23T14:07:08.037
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_001219.wav,true,2020-05-23T14:07:07.987
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_002219.wav,true,2020-05-23T14:07:28.883
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_003219.wav,true,2020-05-23T14:07:32.398
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_004219.wav,true,2020-05-23T14:07:50.214
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_005219.wav,true,2020-05-23T14:07:53.021
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_010219.wav,true,2020-05-23T14:08:10.834
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_011219.wav,true,2020-05-23T14:08:14.815
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_012219.wav,true,2020-05-23T14:08:32.293
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_013219.wav,true,2020-05-23T14:08:35.448
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_014219.wav,true,2020-05-23T14:08:52.729
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_015219.wav,true,2020-05-23T14:08:58.236
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_020219.wav,true,2020-05-23T14:09:14.301
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_021219.wav,true,2020-05-23T14:09:21.593
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_022219.wav,true,2020-05-23T14:09:35.726
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_023219.wav,true,2020-05-23T14:09:45.787
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_024219.wav,true,2020-05-23T14:09:58.766
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_025219.wav,true,2020-05-23T14:10:06.539
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_030219.wav,true,2020-05-23T14:10:20.615
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_031219.wav,true,2020-05-23T14:10:27.269
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_032219.wav,true,2020-05-23T14:10:43.34
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_033219.wav,true,2020-05-23T14:10:52.271
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_034219.wav,true,2020-05-23T14:11:03.336
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_035219.wav,true,2020-05-23T14:11:12.852
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_040219.wav,true,2020-05-23T14:11:23.686
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_041219.wav,true,2020-05-23T14:11:33.748
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_042219.wav,true,2020-05-23T14:11:47.496
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_043219.wav,true,2020-05-23T14:11:54.727
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_044219.wav,true,2020-05-23T14:12:12.023
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_045219.wav,true,2020-05-23T14:12:15.476
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_050219.wav,true,2020-05-23T14:12:32.788
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_051219.wav,true,2020-05-23T14:12:36.874
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_052219.wav,true,2020-05-23T14:12:55.655
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_053219.wav,true,2020-05-23T14:12:58.758
\\atlas.shore.mbari.org\PAM_Archive\2020\05\MARS_20200501_054219.wav,true,2020-05-23T14:13:17.649
